OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,geo_shape,geo_point_2d
1,1.0,Herschel St app Nth Quay (r) (Stop 1),HERSCHEL ST,,501885.0,6961746.0,-27.467834,153.019079,BRISBANE CITY,4 - Regular,N,Hard,Easy,Easy,,"{""coordinates"": [153.01908472902778, -27.467821136088542], ""type"": ""Point""}","-27.467821136088542, 153.01908472902778"
2,2.0,Herschel St app Nth Quay (Stop 2),NORTH QUAY,,501851.9,6961717.1,-27.468095,153.018744,BRISBANE CITY,3 - Regular with seat,N,Hard,Easy,Easy,,"{""coordinates"": [153.01874975739045, -27.468082090506922], ""type"": ""Point""}","-27.468082090506922, 153.01874975739045"
3,3.0,Turbot St F/S Albert St (Stop 3),TURBOT ST,,502311.3,6961837.3,-27.467009,153.023393,BRISBANE CITY,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.02339927439039, -27.466996222893275], ""type"": ""Point""}","-27.466996222893275, 153.02339927439039"
4,4.0,Turbot St F/S Wharf St (Stop 4),TURBOT ST,Wharf St,502805.7,6962247.3,-27.463306,153.028396,SPRING HILL,2 - Intermediate,Y,Easy,Easy,Medium,2018-02-06T11:00:00+10:00,"{""coordinates"": [153.02840227015676, -27.463293815144574], ""type"": ""Point""}","-27.463293815144574, 153.02840227015676"
5,5.0,Ann Street F/S Orient Hotel (Stop 5),ANN ST,Queen St,503022.1,6962290.4,-27.462917,153.030586,BRISBANE CITY,3 - Regular with seat,Y,Medium,Medium,Hard,,"{""coordinates"": [153.03059232712772, -27.46290424493088], ""type"": ""Point""}","-27.46290424493088, 153.03059232712772"
6,6.0,Ann St app Wharf St (Stop 6),ANN ST,Creek St,502880.6,6962169.0,-27.464013,153.029154,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02916051198983, -27.464000550731047], ""type"": ""Point""}","-27.464000550731047, 153.02916051198983"
7,7.0,Ann St at Anzac Square,ANN ST,Creek St,502623.6,6961944.0,-27.466045,153.026554,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0265599087023, -27.466032369532993], ""type"": ""Point""}","-27.466032369532993, 153.0265599087023"
8,8.0,Central Ann Street Stop 8,ANN ST,Edward St,502569.1,6961895.0,-27.466487,153.026002,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2018-03-14T11:00:00+10:00,"{""coordinates"": [153.02600840936523, -27.466474845234096], ""type"": ""Point""}","-27.466474845234096, 153.02600840936523"
9,9.0,Ann St aT KGS,ANN ST,Edward St,502466.1,6961808.0,-27.467273,153.02496,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02496610279186, -27.467260471231228], ""type"": ""Point""}","-27.467260471231228, 153.02496610279186"
10,11.0,Ann Street Stop 11,ANN ST,George St,502266.7,6961637.1,-27.468816,153.022942,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02294824083498, -27.468803701832467], ""type"": ""Point""}","-27.468803701832467, 153.02294824083498"
11,12.0,Central Ann Street Stop 6a,CREEK ST,,502701.6,6962010.6,-27.465444,153.027343,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02734921069876, -27.465430952453957], ""type"": ""Point""}","-27.465430952453957, 153.02734921069876"
12,14.0,Ann St @ City Hall Stop 12,ADELAIDE ST,,502262.7,6961634.0,-27.468844,153.022902,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Medium,2023-04-19T12:00:00+10:00,"{""coordinates"": [153.0229077609724, -27.46883169526218], ""type"": ""Point""}","-27.46883169526218, 153.0229077609724"
13,17.0,Adelaide St f/s George St (Stop 17),GEORGE ST,,502271.7,6961511.4,-27.469951,153.022993,BRISBANE CITY,2 - Intermediate,Y,Hard,Easy,Easy,,"{""coordinates"": [153.02299908325705, -27.46993851177714], ""type"": ""Point""}","-27.46993851177714, 153.02299908325705"
14,18.0,Adelaide St at City Hall (Stop 18),ADELAIDE ST,George St,502293.9,6961530.7,-27.469777,153.023218,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02322374438984, -27.469764234331443], ""type"": ""Point""}","-27.469764234331443, 153.02322374438984"
15,19.0,Adelaide St at City Hall,ADELAIDE ST,Albert St,502346.0,6961572.0,-27.469404,153.023745,BRISBANE CITY,1 - Premium,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02375099460846, -27.46939128951007], ""type"": ""Point""}","-27.46939128951007, 153.02375099460846"
16,20.0,Adelaide St at City Hall,ADELAIDE ST,Albert St,502393.0,6961615.0,-27.469016,153.024221,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02422661862812, -27.46900300407418], ""type"": ""Point""}","-27.46900300407418, 153.02422661862812"
